experiment,start_particles,end_particles,median_particles,converge_s,settled_err_m,settled_heading_deg,odom_final_err_m,ms_per_step,updates,skipped,particles,mean_particles,median_err_m,worst_err_m,eps,map,n_min,n,converged,rate,confidently_wrong_rate,d_thresh,skipped_frac,drive_on,laps,mean_abs_xtrack_m,worst_seed_xtrack_m,steps_in_collision,final_odometry_drift_m,recovery,recovered,mean_recovery_s,mean_particles_after
1_lap,5000,500,500,4.3,0.031,0.38,0.23,0.64,174,346,,,,,,,,,,,,,,,,,,,,,,,
2_fixed,,,,,,,,0.31,,,50,50.0,0.028,0.145,,,,,,,,,,,,,,,,,,,
2_fixed,,,,,,,,0.33,,,100,100.0,0.025,0.19,,,,,,,,,,,,,,,,,,,
2_fixed,,,,,,,,0.39,,,250,250.0,0.028,0.151,,,,,,,,,,,,,,,,,,,
2_fixed,,,,,,,,0.47,,,500,500.0,0.024,0.142,,,,,,,,,,,,,,,,,,,
2_fixed,,,,,,,,0.64,,,1000,1000.0,0.027,0.157,,,,,,,,,,,,,,,,,,,
2_fixed,,,,,,,,1.14,,,2500,2500.0,0.027,0.137,,,,,,,,,,,,,,,,,,,
2_fixed,,,,,,,,2.0,,,5000,5000.0,0.025,0.129,,,,,,,,,,,,,,,,,,,
2_kld,,,,,,,,0.42,,,,198.0,0.034,0.123,0.02,,,,,,,,,,,,,,,,,,
2_kld,,,,,,,,0.34,,,,87.0,0.028,0.127,0.05,,,,,,,,,,,,,,,,,,
2_kld,,,,,,,,0.33,,,,58.0,0.032,0.127,0.1,,,,,,,,,,,,,,,,,,
2_kld,,,,,,,,0.32,,,,53.0,0.036,0.121,0.2,,,,,,,,,,,,,,,,,,
2_kld,,,,,,,,0.32,,,,53.0,0.036,0.121,0.4,,,,,,,,,,,,,,,,,,
3_global,,,,,,,,0.38,,,,,,,,irregular map,50,16,9,0.562,0.438,,,,,,,,,,,,
3_global,,,,,,,,0.39,,,,,,,,irregular map,100,16,10,0.625,0.375,,,,,,,,,,,,
3_global,,,,,,,,0.49,,,,,,,,irregular map,250,16,10,0.625,0.375,,,,,,,,,,,,
3_global,,,,,,,,0.64,,,,,,,,irregular map,500,16,11,0.688,0.312,,,,,,,,,,,,
3_global,,,,,,,,0.98,,,,,,,,irregular map,1000,16,11,0.688,0.312,,,,,,,,,,,,
3_global,,,,,,,,1.63,,,,,,,,irregular map,2000,16,12,0.75,0.25,,,,,,,,,,,,
3_global,,,,,,,,0.37,,,,,,,,left-right symmetric map,50,16,9,0.562,0.438,,,,,,,,,,,,
3_global,,,,,,,,0.39,,,,,,,,left-right symmetric map,100,16,10,0.625,0.375,,,,,,,,,,,,
3_global,,,,,,,,0.49,,,,,,,,left-right symmetric map,250,16,11,0.688,0.312,,,,,,,,,,,,
3_global,,,,,,,,0.67,,,,,,,,left-right symmetric map,500,16,8,0.5,0.5,,,,,,,,,,,,
3_global,,,,,,,,1.0,,,,,,,,left-right symmetric map,1000,16,9,0.562,0.438,,,,,,,,,,,,
3_global,,,,,,,,1.66,,,,,,,,left-right symmetric map,2000,16,8,0.5,0.5,,,,,,,,,,,,
4_thresh,,,,,,,,0.466,520.0,,,,0.0235,,,,,,,,,0.0,0.0,,,,,,,,,,
4_thresh,,,,,,,,0.475,518.0,,,,0.0243,,,,,,,,,0.05,0.004,,,,,,,,,,
4_thresh,,,,,,,,0.397,259.0,,,,0.0232,,,,,,,,,0.1,0.502,,,,,,,,,,
4_thresh,,,,,,,,0.359,174.0,,,,0.0283,,,,,,,,,0.2,0.665,,,,,,,,,,
4_thresh,,,,,,,,0.321,98.0,,,,0.0415,,,,,,,,,0.4,0.812,,,,,,,,,,
4_thresh,,,,,,,,0.301,68.4,,,,0.0458,,,,,,,,,0.8,0.868,,,,,,,,,,
4_thresh,,,,,,,,0.297,59.6,,,,0.0372,,,,,,,,,1.6,0.885,,,,,,,,,,
5_closed_loop,,,,,,,,,,,,,,,,,,,,,,,,true pose (cheating),3,0.216,0.217,3.4,0.69,,,,
5_closed_loop,,,,,,,,,,,,,,,,,,,,,,,,AMCL estimate,3,0.215,0.217,3.8,0.54,,,,
5_closed_loop,,,,,,,,,,,,,,,,,,,,,,,,odometry only,3,0.279,0.331,198.6,0.9,,,,
6_kidnap,,,,,,,,,,,,,,,,,,6,,0.0,,,,,,,,,,no injection,0,,106.0
6_kidnap,,,,,,,,,,,,,,,,,,6,,0.0,,,,,,,,,,5% injected every update,0,,113.0
6_kidnap,,,,,,,,,,,,,,,,,,6,,0.667,,,,,,,,,,augmented MCL (self-tuning),4,20.1,116.0
