experiment,total_time_s,peak_speed,peak_accel,peak_jerk,peak_snap,mean_err_mm,max_err_mm,worst_waypoint_mm,peak_motor_N,motor_limit_N,sat_frac,objective,snap_cost,cont_order,free_parameters,max_curve_difference_m,peak_snap_min_accel,peak_snap_min_snap,mode,shortest_leg_s,longest_leg_s,accel_limit,feedforward
1_flight,12.0,3.64,5.84,12.5,97.6,3.39,7.78,2.79,2.68,6.0,0.0,,,,,,,,,,,,
2_objective,8.0,,11.04,67.1,1418.5,4.42,,,4.169,,0.001,min acceleration,163962.7,,,,,,,,,,
2_objective,8.0,,9.48,48.1,913.3,4.67,,,3.543,,0.0,min jerk,66576.0,,,,,,,,,,
2_objective,8.0,,13.13,42.0,494.1,5.48,,,3.989,,0.0,min snap (r = 4),39548.6,,,,,,,,,,
3_continuity,,,,,,,,,,,,,,2,24,1.423073,3103.5,467.0,,,,,
3_continuity,,,,,,,,,,,,,,3,18,1.208576,1725.0,494.1,,,,,
3_continuity,,,,,,,,,,,,,,4,12,1.196919,1418.5,494.1,,,,,
3_continuity,,,,,,,,,,,,,,5,6,1.239842,1037.5,494.1,,,,,
3_continuity,,,,,,,,,,,,,,6,0,0.0,494.1,494.1,,,,,
4_timing,6.0,,11.42,,507.2,6.21,,6.28,3.756,,0.0,,,,,,,,uniform,0.86,0.86,,
4_timing,8.0,,6.43,,160.5,4.49,,5.78,2.885,,0.0,,,,,,,,uniform,1.14,1.14,,
4_timing,10.0,,4.11,,65.7,3.54,,4.02,2.567,,0.0,,,,,,,,uniform,1.43,1.43,,
4_timing,14.0,,2.1,,17.1,2.47,,0.0,2.355,,0.0,,,,,,,,uniform,2.0,2.0,,
4_timing,6.0,,23.35,,1561.7,12.0,,7.85,6.0,,0.034,,,,,,,,length,0.56,1.04,,
4_timing,8.0,,13.13,,494.1,5.48,,5.91,3.989,,0.0,,,,,,,,length,0.74,1.39,,
4_timing,10.0,,8.4,,202.4,4.16,,8.07,3.089,,0.0,,,,,,,,length,0.93,1.74,,
4_timing,14.0,,4.29,,52.7,2.87,,4.37,2.488,,0.0,,,,,,,,length,1.3,2.43,,
4_timing,6.0,,15.79,,782.5,7.03,,6.86,4.623,,0.0,,,,,,,,sqrt,0.69,0.95,,
4_timing,8.0,,8.88,,247.6,4.76,,5.34,3.216,,0.0,,,,,,,,sqrt,0.92,1.26,,
4_timing,10.0,,5.68,,101.4,3.72,,6.16,2.695,,0.0,,,,,,,,sqrt,1.16,1.58,,
4_timing,14.0,,2.9,,26.4,2.59,,3.43,2.368,,0.0,,,,,,,,sqrt,1.62,2.21,,
5_aggressive,16.0,2.73,3.28,,,2.5,5.7,2.8,2.38,,0.0,,,,,,,,,,,16.86,
5_aggressive,12.0,3.64,5.84,,,3.4,7.8,2.8,2.68,,0.0,,,,,,,,,,,16.86,
5_aggressive,9.0,4.85,10.38,,,4.7,10.6,4.5,3.45,,0.0,,,,,,,,,,,16.86,
5_aggressive,7.0,6.24,17.15,,,6.7,16.9,10.5,4.84,,0.0,,,,,,,,,,,16.86,
5_aggressive,6.0,7.28,23.35,,,12.0,64.7,7.9,6.0,,0.034,,,,,,,,,,,16.86,
5_aggressive,5.0,8.73,33.62,,,216.8,2398.7,8.1,6.0,,0.2367,,,,,,,,,,,16.86,
5_aggressive,4.5,9.7,41.5,,,501.8,5029.9,11.9,6.0,,0.3804,,,,,,,,,,,16.86,
5_aggressive,4.0,10.91,52.53,,,1124.4,8232.9,16.7,6.0,,0.635,,,,,,,,,,,16.86,
5_aggressive,3.5,12.47,68.61,,,1490.8,8340.9,22.9,6.0,,0.9829,,,,,,,,,,,16.86,
6_feedforward,16.0,,3.28,,,2.48,5.7,2.79,,,0.0,,,,,,,,,,,,1
6_feedforward,12.0,,5.84,,,3.39,7.78,2.79,,,0.0,,,,,,,,,,,,1
6_feedforward,9.0,,10.38,,,4.71,10.61,4.48,,,0.0,,,,,,,,,,,,1
6_feedforward,7.0,,17.15,,,6.69,16.88,10.53,,,0.0,,,,,,,,,,,,1
6_feedforward,6.0,,23.35,,,12.0,64.65,7.85,,,0.034,,,,,,,,,,,,1
6_feedforward,5.0,,33.62,,,216.82,2398.71,8.07,,,0.2367,,,,,,,,,,,,1
6_feedforward,16.0,,3.28,,,108.94,307.3,2.79,,,0.0,,,,,,,,,,,,0
6_feedforward,12.0,,5.84,,,189.28,526.36,2.79,,,0.0,,,,,,,,,,,,0
6_feedforward,9.0,,10.38,,,330.25,911.6,4.48,,,0.0,,,,,,,,,,,,0
6_feedforward,7.0,,17.15,,,588.07,1702.84,10.53,,,0.1214,,,,,,,,,,,,0
6_feedforward,6.0,,23.35,,,1157.31,4103.74,7.85,,,0.3723,,,,,,,,,,,,0
6_feedforward,5.0,,33.62,,,1940.97,7599.6,8.07,,,0.559,,,,,,,,,,,,0
