experiment,commanded_vx,mean_vx,vx_err,vy_err,height_err_mm,roll_pitch_rms_deg,peak_torque_Nm,ms_per_solve,survived,N,horizon_s,gait_cycles,ground_mu,controller_mu,distance_m,fell_at_s,cone,controller,gait,duty,period_s,roll_rms_deg,push_mps,push_phase_s,recovered,max_roll_deg,max_vy,n_phases,rate,mean_max_roll_deg
1_trot,0.6,0.526,0.233,0.245,33.3,5.29,39.7,9.13,1,,,,,,,,,,,,,,,,,,,,,
2_horizon,,,0.445,,,33.82,,0.43,0,1,0.03,0.09,,,,,,,,,,,,,,,,,,
2_horizon,,,0.155,,,9.16,,0.63,0,2,0.06,0.18,,,,,,,,,,,,,,,,,,
2_horizon,,,0.145,,,11.22,,1.08,0,3,0.09,0.26,,,,,,,,,,,,,,,,,,
2_horizon,,,0.19,,,30.59,,3.03,0,5,0.15,0.44,,,,,,,,,,,,,,,,,,
2_horizon,,,0.246,,,5.96,,5.6,1,8,0.24,0.71,,,,,,,,,,,,,,,,,,
2_horizon,,,0.255,,,8.74,,21.87,1,12,0.36,1.06,,,,,,,,,,,,,,,,,,
2_horizon,,,0.359,,,6.78,,43.06,1,16,0.48,1.41,,,,,,,,,,,,,,,,,,
2_horizon,,,0.395,,,11.07,,71.06,0,20,0.6,1.76,,,,,,,,,,,,,,,,,,
3_ground,,0.571,0.188,,,,,,1,,,,0.2,0.35,2.81,,,,,,,,,,,,,,,
3_ground,,0.571,0.188,,,,,,1,,,,0.3,0.35,2.81,,,,,,,,,,,,,,,
3_ground,,0.571,0.188,,,,,,1,,,,0.4,0.35,2.81,,,,,,,,,,,,,,,
3_ground,,0.571,0.188,,,,,,1,,,,0.6,0.35,2.81,,,,,,,,,,,,,,,
3_ground,,0.571,0.188,,,,,,1,,,,0.9,0.35,2.81,,,,,,,,,,,,,,,
3_belief,,0.592,0.147,,,,,,1,,,,0.9,0.2,2.87,,,,,,,,,,,,,,,
3_belief,,0.571,0.188,,,,,,1,,,,0.9,0.35,2.81,,,,,,,,,,,,,,,
3_belief,,0.562,0.263,,,,,,1,,,,0.9,0.5,2.77,,,,,,,,,,,,,,,
3_belief,,0.562,0.179,,,,,,1,,,,0.9,0.7,2.77,,,,,,,,,,,,,,,
3_belief,,0.532,0.243,,,,,,1,,,,0.9,1.0,2.65,,,,,,,,,,,,,,,
3_belief,,0.421,0.37,,,,,,0,,,,0.9,3.0,1.09,2.33,,,,,,,,,,,,,,
3_cone,,,0.188,,,,,,1,,,,0.2,,2.81,,1,,,,,,,,,,,,,
3_cone,,,0.188,,,,,,1,,,,0.3,,2.81,,1,,,,,,,,,,,,,
3_cone,,,0.188,,,,,,1,,,,0.4,,2.81,,1,,,,,,,,,,,,,
3_cone,,,0.188,,,,,,1,,,,0.6,,2.81,,1,,,,,,,,,,,,,
3_cone,,,0.188,,,,,,1,,,,0.9,,2.81,,1,,,,,,,,,,,,,
3_cone,,,0.359,,,,,,0,,,,0.2,,1.16,3.0,0,,,,,,,,,,,,,
3_cone,,,0.359,,,,,,0,,,,0.3,,1.16,3.0,0,,,,,,,,,,,,,
3_cone,,,0.359,,,,,,0,,,,0.4,,1.16,3.0,0,,,,,,,,,,,,,
3_cone,,,0.359,,,,,,0,,,,0.6,,1.16,3.0,0,,,,,,,,,,,,,
3_cone,,,0.359,,,,,,0,,,,0.9,,1.16,3.0,0,,,,,,,,,,,,,
4_vs_fixed,0.0,0.008,0.216,,24.1,6.07,,8.921,1,,,,,,,,,convex MPC,,,,,,,,,,,,
4_vs_fixed,0.3,0.304,0.246,,35.1,4.63,,8.826,1,,,,,,,,,convex MPC,,,,,,,,,,,,
4_vs_fixed,0.6,0.532,0.231,,30.1,4.46,,8.764,1,,,,,,,,,convex MPC,,,,,,,,,,,,
4_vs_fixed,0.9,0.775,0.245,,39.9,10.73,,9.608,0,,,,,,,,,convex MPC,,,,,,,,,,,,
4_vs_fixed,1.2,1.082,0.208,,19.4,5.23,,9.101,1,,,,,,,,,convex MPC,,,,,,,,,,,,
4_vs_fixed,0.0,0.0,nan,,nan,nan,,0.01,0,,,,,,,,,equal weight share (no QP),,,,,,,,,,,,
4_vs_fixed,0.3,0.0,nan,,nan,nan,,0.009,0,,,,,,,,,equal weight share (no QP),,,,,,,,,,,,
4_vs_fixed,0.6,0.103,0.497,,16.4,32.62,,0.008,0,,,,,,,,,equal weight share (no QP),,,,,,,,,,,,
4_vs_fixed,0.9,0.0,nan,,nan,nan,,0.009,0,,,,,,,,,equal weight share (no QP),,,,,,,,,,,,
4_vs_fixed,1.2,0.0,nan,,nan,nan,,0.009,0,,,,,,,,,equal weight share (no QP),,,,,,,,,,,,
5_gait,,0.532,0.231,,,4.46,,,1,,,,,,,,,,trot (diagonal pairs),0.5,0.34,5.21,,,,,,,,
5_gait,,0.63,0.042,,,3.02,,,1,,,,,,,,,,pace (lateral pairs),0.5,0.34,5.48,,,,,,,,
5_gait,,0.338,0.374,,,12.51,,,1,,,,,,,,,,bound (front/rear pairs),0.5,0.34,0.0,,,,,,,,
5_gait,,0.602,0.069,,,3.72,,,1,,,,,,,,,,walk (duty 0.75),0.75,0.5,4.1,,,,,,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,1,18.4,0.85,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,0.2,0.085,1,18.7,0.65,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,0.2,0.17,1,18.2,0.63,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,0.2,0.255,1,22.7,1.1,,,
5_push_summary,,,,,,,,,,,,,,,,,,,,,,,0.2,,4,,,4,1.0,19.5
5_push,,,,,,,,,,,,,,,,,,,,,,,0.4,0.0,1,50.4,0.95,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,0.4,0.085,0,57.2,0.7,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,0.4,0.17,1,33.6,1.1,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,0.4,0.255,1,20.6,0.5,,,
5_push_summary,,,,,,,,,,,,,,,,,,,,,,,0.4,,3,,,4,0.75,40.5
5_push,,,,,,,,,,,,,,,,,,,,,,,0.7,0.0,1,26.8,0.78,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,0.7,0.085,1,23.1,0.5,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,0.7,0.17,1,13.2,0.47,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,0.7,0.255,1,13.6,0.8,,,
5_push_summary,,,,,,,,,,,,,,,,,,,,,,,0.7,,4,,,4,1.0,19.2
5_push,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0,57.4,1.39,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,1.0,0.085,1,36.8,0.79,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,1.0,0.17,1,21.4,0.78,,,
5_push,,,,,,,,,,,,,,,,,,,,,,,1.0,0.255,0,57.7,1.83,,,
5_push_summary,,,,,,,,,,,,,,,,,,,,,,,1.0,,2,,,4,0.5,43.3
