experiment,planner,time_s,min_gap_m,intrusion_frac,frozen_frac,reached,collided,n_ped,success,collision,time,min_gap,intrusion,frozen,path_len,sigma_rate,humans_react,w_social,predictor
1_scene,static costmap,26.1,-0.101,0.349,0.13,1,1,,,,,,,,,,,,
1_scene,constant-velocity prediction,28.4,0.149,0.239,0.021,1,0,,,,,,,,,,,,
1_scene,prediction + personal space,37.2,0.226,0.164,0.003,1,0,,,,,,,,,,,,
1_scene,prediction + 0.35 m/s uncertainty,30.4,0.12,0.095,0.092,1,0,,,,,,,,,,,,
2_density,static costmap,,,,,,,2,0.8,0.2,18.66,0.673,0.021,0.009,15.588,,,,
2_density,static costmap,,,,,,,8,0.2,0.8,23.44,-0.209,0.31,0.097,17.507,,,,
2_density,static costmap,,,,,,,14,0.0,1.0,23.28,-0.18,0.351,0.137,15.609,,,,
2_density,static costmap,,,,,,,22,0.0,1.0,32.04,-0.269,0.683,0.287,14.365,,,,
2_density,CV prediction,,,,,,,2,1.0,0.0,16.62,1.246,0.0,0.0,13.85,,,,
2_density,CV prediction,,,,,,,8,0.8,0.2,23.86,0.055,0.169,0.027,20.019,,,,
2_density,CV prediction,,,,,,,14,0.6,0.4,26.48,0.049,0.298,0.121,18.487,,,,
2_density,CV prediction,,,,,,,22,0.2,0.8,31.0,-0.095,0.415,0.247,18.722,,,,
2_density,CV + personal space,,,,,,,2,1.0,0.0,16.62,1.246,0.0,0.0,13.85,,,,
2_density,CV + personal space,,,,,,,8,0.8,0.2,25.34,0.113,0.101,0.044,20.695,,,,
2_density,CV + personal space,,,,,,,14,0.6,0.4,31.22,0.182,0.144,0.108,22.56,,,,
2_density,CV + personal space,,,,,,,22,0.0,1.0,38.0,-0.178,0.521,0.39,18.645,,,,
3_freeze,,,,,,,,6,1.0,0.0,25.14,0.383,0.067,0.009,21.691,0.0,,,
3_freeze,,,,,,,,6,0.6,0.4,27.96,0.477,0.066,0.085,22.155,0.15,,,
3_freeze,,,,,,,,6,0.8,0.0,31.78,0.555,0.018,0.061,24.867,0.3,,,
3_freeze,,,,,,,,6,0.8,0.0,34.36,0.613,0.012,0.117,25.37,0.45,,,
3_freeze,,,,,,,,6,0.6,0.2,35.12,0.569,0.057,0.204,24.246,0.7,,,
3_freeze,,,,,,,,6,0.2,0.6,41.44,0.18,0.154,0.438,21.35,1.0,,,
3_freeze,,,,,,,,14,0.6,0.4,26.48,0.049,0.298,0.121,18.487,0.0,,,
3_freeze,,,,,,,,14,0.6,0.4,25.76,0.031,0.188,0.111,19.923,0.15,,,
3_freeze,,,,,,,,14,0.0,1.0,39.5,-0.096,0.296,0.41,20.159,0.3,,,
3_freeze,,,,,,,,14,0.0,0.8,42.26,-0.075,0.2,0.454,19.94,0.45,,,
3_freeze,,,,,,,,14,0.0,0.6,45.0,0.022,0.204,0.448,23.197,0.7,,,
3_freeze,,,,,,,,14,0.0,0.4,45.0,0.336,0.071,0.356,25.744,1.0,,,
4_react,static costmap,,,,,,,6,0.2,0.8,20.22,0.097,0.181,0.049,15.516,,1,,
4_react,static costmap,,,,,,,12,0.2,0.8,23.74,-0.17,0.431,0.145,14.9,,1,,
4_react,static costmap,,,,,,,20,0.2,0.8,26.6,-0.24,0.522,0.212,14.642,,1,,
4_react,CV prediction,,,,,,,6,1.0,0.0,25.14,0.383,0.067,0.009,21.691,,1,,
4_react,CV prediction,,,,,,,12,0.4,0.6,28.84,-0.077,0.313,0.103,21.296,,1,,
4_react,CV prediction,,,,,,,20,0.2,0.8,28.56,-0.139,0.531,0.219,18.6,,1,,
4_react,static costmap,,,,,,,6,0.2,0.8,20.9,-0.127,0.267,0.107,15.287,,0,,
4_react,static costmap,,,,,,,12,0.2,0.8,23.6,-0.316,0.409,0.165,14.762,,0,,
4_react,static costmap,,,,,,,20,0.0,1.0,29.6,-0.397,0.575,0.289,14.72,,0,,
4_react,CV prediction,,,,,,,6,0.4,0.6,20.66,0.157,0.206,0.049,16.592,,0,,
4_react,CV prediction,,,,,,,12,0.0,1.0,30.02,-0.399,0.491,0.21,19.213,,0,,
4_react,CV prediction,,,,,,,20,0.2,0.8,38.64,-0.346,0.631,0.412,18.334,,0,,
5_personal,,,,,,,,,0.4,0.6,28.84,-0.077,0.313,0.103,21.296,,,0.0,
5_personal,,,,,,,,,0.4,0.6,28.6,0.014,0.152,0.082,22.187,,,0.4,
5_personal,,,,,,,,,0.4,0.6,30.94,0.04,0.166,0.101,22.142,,,0.8,
5_personal,,,,,,,,,0.6,0.4,27.28,0.089,0.132,0.045,22.378,,,1.5,
5_personal,,,,,,,,,0.8,0.2,28.04,0.106,0.124,0.028,23.285,,,3.0,
5_personal,,,,,,,,,1.0,0.0,29.3,0.237,0.086,0.045,24.179,,,6.0,
6_predictor,,,,,,,,6,0.2,0.8,20.22,0.097,0.181,0.049,15.516,,,,static (no prediction)
6_predictor,,,,,,,,12,0.2,0.8,23.74,-0.17,0.431,0.145,14.9,,,,static (no prediction)
6_predictor,,,,,,,,20,0.2,0.8,26.6,-0.24,0.522,0.212,14.642,,,,static (no prediction)
6_predictor,,,,,,,,6,1.0,0.0,25.14,0.383,0.067,0.009,21.691,,,,constant velocity
6_predictor,,,,,,,,12,0.4,0.6,28.84,-0.077,0.313,0.103,21.296,,,,constant velocity
6_predictor,,,,,,,,20,0.2,0.8,28.56,-0.139,0.531,0.219,18.6,,,,constant velocity
6_predictor,,,,,,,,6,1.0,0.0,21.64,0.661,0.015,0.0,19.174,,,,oracle (the true future)
6_predictor,,,,,,,,12,0.8,0.2,20.0,0.088,0.166,0.062,14.966,,,,oracle (the true future)
6_predictor,,,,,,,,20,0.8,0.2,25.84,0.038,0.297,0.126,17.52,,,,oracle (the true future)
