experiment,key,value,unit
1-demonstrator,expert success side +1,1.0,
1-demonstrator,expert steps side +1,28.16,
1-demonstrator,expert success side -1,1.0,
1-demonstrator,expert steps side -1,29.07,
1-demonstrator,50 demos: transitions,1377,
1-demonstrator,50 demos: wall clock,0.64,s
1-demonstrator,action |a| mean,0.601,
1-demonstrator,fraction of actions saturated,0.237,
2-sample-efficiency, 10 demos: success,0.339 +- 0.079,
2-sample-efficiency, 10 demos: val action MSE,0.0933,
2-sample-efficiency, 25 demos: success,0.311 +- 0.048,
2-sample-efficiency, 25 demos: val action MSE,0.082,
2-sample-efficiency, 50 demos: success,0.661 +- 0.075,
2-sample-efficiency, 50 demos: val action MSE,0.0563,
2-sample-efficiency,100 demos: success,0.861 +- 0.048,
2-sample-efficiency,100 demos: val action MSE,0.0388,
2-sample-efficiency,200 demos: success,0.939 +- 0.008,
2-sample-efficiency,200 demos: val action MSE,0.0265,
2-sample-efficiency,400 demos: success,0.983 +- 0.014,
2-sample-efficiency,400 demos: val action MSE,0.0217,
3-covariate-shift,action MSE on expert states,0.0748,
3-covariate-shift,action MSE on policy states,0.334,
3-covariate-shift,ratio,4.47,x
3-covariate-shift,action error at step 1,0.1488,
3-covariate-shift,action error at step 20,0.2674,
3-covariate-shift,nearest-demo distance step 1,1.07,
3-covariate-shift,nearest-demo distance step 20,1.24,
4-failure-modes,50 demos: success,0.783,
4-failure-modes,50 demos: never_touched,0.0,
4-failure-modes,50 demos: pushed_away,0.05,
4-failure-modes,50 demos: ran_out_of_time,0.167,
4-failure-modes,400 demos: success,0.983,
4-failure-modes,400 demos: never_touched,0.0,
4-failure-modes,400 demos: pushed_away,0.0,
4-failure-modes,400 demos: ran_out_of_time,0.017,
5-noise-injection,sigma 0.00: BC success,0.661 +- 0.075,
5-noise-injection,sigma 0.00: demos usable,1.0,
5-noise-injection,sigma 0.05: BC success,0.706 +- 0.034,
5-noise-injection,sigma 0.05: demos usable,1.0,
5-noise-injection,sigma 0.15: BC success,0.778 +- 0.061,
5-noise-injection,sigma 0.15: demos usable,1.0,
5-noise-injection,sigma 0.30: BC success,0.806 +- 0.021,
5-noise-injection,sigma 0.30: demos usable,1.0,
6-observation,feat=rel: success,0.661 +- 0.075,
6-observation,feat=rel: val action MSE,0.0563,
6-observation,feat=raw: success,0.178 +- 0.021,
6-observation,feat=raw: val action MSE,0.0642,
6-observation,no joint velocity: success,0.883 +- 0.036,
