experiment,key,value,unit
1-dagger-curve,round 0: success,0.308 +- 0.092,
1-dagger-curve,round 0: expert labels,663,
1-dagger-curve,round 1: success,0.717 +- 0.017,
1-dagger-curve,round 1: expert labels,1735,
1-dagger-curve,round 2: success,0.767 +- 0.000,
1-dagger-curve,round 2: expert labels,2617,
1-dagger-curve,round 3: success,0.800 +- 0.050,
1-dagger-curve,round 3: expert labels,3364,
1-dagger-curve,round 4: success,0.817 +- 0.100,
1-dagger-curve,round 4: expert labels,4132,
1-dagger-curve,round 0 -> final gain,0.308 -> 0.817,
1-dagger-curve,"success DURING collection, round 1",0.2,
1-dagger-curve,"success DURING collection, last round",0.8,
2-bc-control,BC  25 demos (663 labels): success,0.217,
2-bc-control,BC  50 demos (1377 labels): success,0.55,
2-bc-control,BC 100 demos (2734 labels): success,0.85,
2-bc-control,BC 150 demos (4067 labels): success,0.95,
2-bc-control,BC 200 demos (5418 labels): success,0.933,
2-bc-control,BC interpolated at 4132 labels,0.949,
2-bc-control,DAgger at the same labels,0.817,
2-bc-control,DAgger advantage at equal labels,-0.133,
3-beta,beta=zero: final success,0.917,
3-beta,beta=zero: final labels,4132,
3-beta,beta=decay: final success,0.967,
3-beta,beta=decay: final labels,2717,
3-beta,beta=one: final success,0.767,
3-beta,beta=one: final labels,2769,
4-shift-gap,BC 25 demos: MSE expert / policy states,0.1515 / 0.6547  (4.32x),
4-shift-gap,after DAgger: MSE expert / policy states,0.1205 / 0.1500  (1.24x),
5-aggregation,keep all rounds: final success,0.917,
5-aggregation,newest round only: final success,0.25,
5-aggregation,newest round only: final labels,1158,
6-cheap-alternative,noisy BC 100 demos (3016 labels): success,0.9,
6-cheap-alternative,noisy BC 200 demos (5872 labels): success,1.0,
6-cheap-alternative,"labels per success point, DAgger",50.6,
6-cheap-alternative,"labels per success point, BC",58.0,
