experiment,key,value,unit
1-multimodality,distance between the two expert actions,2.053,
1-multimodality,MSE prediction to nearer expert action,0.848,
1-multimodality,diffusion samples near one of the two modes,0.903,
1-multimodality,diffusion samples nearer the + mode,0.56,
2-head-to-head,"MLP, single action: success",0.775 +- 0.042,
2-head-to-head,"MLP, single action: steps used when it succeeds",25.2,
2-head-to-head,"MLP, 8-action chunk: success",0.500 +- 0.033,
2-head-to-head,"MLP, 8-action chunk: steps used when it succeeds",29.9,
2-head-to-head,"diffusion, single action: success",0.867 +- 0.033,
2-head-to-head,"diffusion, single action: steps used when it succeeds",29.2,
2-head-to-head,"diffusion, 8-action chunk: success",0.517 +- 0.000,
2-head-to-head,"diffusion, 8-action chunk: steps used when it succeeds",33.5,
3-unimodal-control,mse H=1 on one-sided demos: success,0.9,
3-unimodal-control,mse H=8 on one-sided demos: success,0.7,
3-unimodal-control,diffusion H=1 on one-sided demos: success,0.9,
3-unimodal-control,diffusion H=8 on one-sided demos: success,0.9,
3-unimodal-control,"diffusion - MLP at H=1, multimodal data",0.092,
3-unimodal-control,"diffusion - MLP at H=1, unimodal data",0.0,
3-unimodal-control,"diffusion - MLP at H=8, multimodal data",0.017,
3-unimodal-control,"diffusion - MLP at H=8, unimodal data",0.2,
4-denoise-steps, 1 steps: success,0.033,
4-denoise-steps, 1 steps: ms per decision,0.554,
4-denoise-steps, 2 steps: success,0.033,
4-denoise-steps, 2 steps: ms per decision,0.646,
4-denoise-steps, 5 steps: success,0.467,
4-denoise-steps, 5 steps: ms per decision,1.087,
4-denoise-steps,10 steps: success,0.517,
4-denoise-steps,10 steps: ms per decision,0.729,
4-denoise-steps,20 steps: success,0.633,
4-denoise-steps,20 steps: ms per decision,1.319,
4-denoise-steps,50 steps: success,0.317,
4-denoise-steps,50 steps: ms per decision,3.637,
5-chunk,H= 1 (execute all): success,0.833,
5-chunk,H= 2 (execute all): success,0.917,
5-chunk,H= 4 (execute all): success,0.75,
5-chunk,H= 8 (execute all): success,0.517,
5-chunk,H=16 (execute all): success,0.217,
5-chunk,"H=8, execute 1 of the 8 actions: success",0.633,
5-chunk,"H=8, execute 2 of the 8 actions: success",0.75,
5-chunk,"H=8, execute 4 of the 8 actions: success",0.633,
5-chunk,"H=8, execute 8 of the 8 actions: success",0.517,
5-chunk,"MLP H=8, execute only the first action: success",0.683,
6-cost,MLP single action: ms/decision,0.464,
6-cost,"diffusion 10 steps, chunk of 8: ms/decision",0.729,
6-cost,"diffusion 10 steps, re-plan every step: ms/decision",2.307,
6-cost,training time MLP / diffusion,51s / 81s,
