experiment,key,value,unit
0-reference,LQR gain K,"[-8.37, -9.81, -63.15, -12.98]",
0-reference,LQR mean episode cost,0.1457,
0-reference,do-nothing mean episode cost,1025.3,
0-reference,batched physics vs project 09,0.0,
1-learning,PPO final cost (3 seeds),0.649 +- 0.198,
1-learning,PPO / LQR cost ratio,4.46,x
1-learning,environment steps,1000000,
1-learning,wall clock per run,87.9,s
1-learning,steps until the pole stops falling,286720,
2-clipping,"clip=0.2,  1 epochs/batch: cost",8179.775,
2-clipping,"clip=0.2,  1 epochs/batch: mean KL",0.0002,
2-clipping,"clip=0.2,  4 epochs/batch: cost",3.424,
2-clipping,"clip=0.2,  4 epochs/batch: mean KL",0.00236,
2-clipping,"clip=0.2, 10 epochs/batch: cost",2.201,
2-clipping,"clip=0.2, 10 epochs/batch: mean KL",0.0022,
2-clipping,"clip=None,  1 epochs/batch: cost",8333.251,
2-clipping,"clip=None,  1 epochs/batch: mean KL",0.0002,
2-clipping,"clip=None,  4 epochs/batch: cost",1843.552,
2-clipping,"clip=None,  4 epochs/batch: mean KL",0.01796,
2-clipping,"clip=None, 10 epochs/batch: cost",1758.920,
2-clipping,"clip=None, 10 epochs/batch: mean KL",0.20261,
3-gae-lambda,lambda=0.0: cost,5312.301,
3-gae-lambda,lambda=0.5: cost,8586.59,
3-gae-lambda,lambda=0.95: cost,2.201,
3-gae-lambda,lambda=1.0: cost,0.26,
4-switches,baseline (400k steps),2.201,
4-switches,advnorm-off: cost,1.58,
4-switches,ent-0.01: cost,2.189,
4-switches,rewnorm-off: cost,0.57,
4-switches,costcap-off: cost,2055.645,
5-nonlinear,"start angle 0.1 rad, LQR: cost",0.096,
5-nonlinear,"start angle 0.1 rad, PPO (trained wide): cost",0.291,
5-nonlinear,"start angle 0.1 rad, PPO (trained narrow): cost",0.191,
5-nonlinear,"start angle 0.3 rad, LQR: cost",0.239,
5-nonlinear,"start angle 0.3 rad, PPO (trained wide): cost",1.002,
5-nonlinear,"start angle 0.3 rad, PPO (trained narrow): cost",0.623,
5-nonlinear,"start angle 0.6 rad, LQR: cost",0.912,
5-nonlinear,"start angle 0.6 rad, PPO (trained wide): cost",3.951,
5-nonlinear,"start angle 0.6 rad, PPO (trained narrow): cost",2.277,
5-nonlinear,"start angle 0.9 rad, LQR: cost",1231.01,
5-nonlinear,"start angle 0.9 rad, PPO (trained wide): cost",44.322,
5-nonlinear,"start angle 0.9 rad, PPO (trained narrow): cost",303.729,
5-nonlinear,"start angle 1.2 rad, LQR: cost",3799.834,
5-nonlinear,"start angle 1.2 rad, PPO (trained wide): cost",968.133,
5-nonlinear,"start angle 1.2 rad, PPO (trained narrow): cost",2240.571,
6-model-error,"LQR designed on 'pole 4x heavier', run on the real plant","cost 0.146, fell 0.00",
6-model-error,"LQR designed on 'pole half as long', run on the real plant","cost 0.220, fell 0.00",
6-model-error,"LQR designed on 'cart 3x heavier', run on the real plant","cost 0.194, fell 0.00",
6-model-error,PPO (no model at all),cost 0.649,
