experiment,key,value,unit
0-reference,batched arm vs project 54's arm,4.440892098500626e-16,
0-reference,damped-least-squares IK: mean final distance,1.86,mm
0-reference,damped-least-squares IK: success,0.98,
0-reference,do nothing: mean final distance,198.1,mm
0-reference,random actions: mean final distance,190.1,mm
1-learning,SAC final distance (3 seeds),9.01 +- 1.71 mm,
1-learning,SAC final success (3 seeds),0.963 +- 0.045,
1-learning,SAC / IK distance ratio,4.8,x
1-learning,environment steps,50000,
1-learning,gradient updates,24000,
1-learning,wall clock per run,144.5,s
2-alpha,alpha=0.002: final distance,7.84 mm,
2-alpha,alpha=0.002: success,0.99,
2-alpha,alpha=0.002: policy entropy,-10.83,
2-alpha,alpha=0.01: final distance,11.32 mm,
2-alpha,alpha=0.01: success,0.9,
2-alpha,alpha=0.01: policy entropy,-5.07,
2-alpha,alpha=0.05: final distance,10.95 mm,
2-alpha,alpha=0.05: success,0.97,
2-alpha,alpha=0.05: policy entropy,-2.31,
2-alpha,alpha=0.2: final distance,8.71 mm,
2-alpha,alpha=0.2: success,0.93,
2-alpha,alpha=0.2: policy entropy,-0.38,
3-auto-alpha,target entropy -1.0: final distance,12.48 mm,
3-auto-alpha,target entropy -1.0: success,0.93,
3-auto-alpha,target entropy -1.0: alpha ended at,0.10199,
3-auto-alpha,target entropy -2.0: final distance,8.84 mm,
3-auto-alpha,target entropy -2.0: success,0.99,
3-auto-alpha,target entropy -2.0: alpha ended at,0.05509,
3-auto-alpha,target entropy -4.0: final distance,13.45 mm,
3-auto-alpha,target entropy -4.0: success,0.95,
3-auto-alpha,target entropy -4.0: alpha ended at,0.01216,
3-auto-alpha,best fixed alpha vs best auto,7.84 mm vs 8.84 mm,
4-reward,distance + on-target bonus: final distance,11.32 mm,
4-reward,distance + on-target bonus: success,0.9,
4-reward,distance only: final distance,40.15 mm,
4-reward,distance only: success,0.25,
4-reward,on-target bonus only (sparse): final distance,8.10 mm,
4-reward,on-target bonus only (sparse): success,0.98,
5-replay-ratio,utd=0.25: final distance,7.85 mm,
5-replay-ratio,utd=0.25: updates,12000,
5-replay-ratio,utd=0.25: wall clock,91.8,s
5-replay-ratio,utd=0.5: final distance,11.32 mm,
5-replay-ratio,utd=0.5: updates,24000,
5-replay-ratio,utd=0.5: wall clock,138.9,s
5-replay-ratio,utd=1.0: final distance,8.64 mm,
5-replay-ratio,utd=1.0: updates,48000,
5-replay-ratio,utd=1.0: wall clock,200.4,s
6-clone-the-expert,BC on 400 IK transitions: final distance,21.27 mm,
6-clone-the-expert,BC on 400 IK transitions: success,0.65,
6-clone-the-expert,BC on 1600 IK transitions: final distance,4.75 mm,
6-clone-the-expert,BC on 1600 IK transitions: success,0.965,
6-clone-the-expert,BC on 6400 IK transitions: final distance,2.50 mm,
6-clone-the-expert,BC on 6400 IK transitions: success,0.98,
6-clone-the-expert,SAC needed,50000 interactions for 9.01 mm,
