experiment,key,value,unit
0-demonstrator,expert ceiling on [mass=1.0],1.0,
0-demonstrator,expert ceiling on [mass=0.6],0.733,
0-demonstrator,expert ceiling on [mass=2.5],1.0,
0-demonstrator,expert ceiling on [gear=0.6],1.0,
0-demonstrator,expert ceiling on [gear=1.5],1.0,
0-demonstrator,expert ceiling on [damp=0.45],1.0,
0-demonstrator,expert ceiling on [damp=2.2],1.0,
0-demonstrator,expert ceiling on [latency=1],1.0,
0-demonstrator,expert ceiling on [latency=2],0.6,
0-demonstrator,"expert ceiling on [mass=1.9, gear=0.7, damp=2.2]",1.0,
0-demonstrator,expert ceiling on [mass=4.0],1.0,
0-demonstrator,expert ceiling on [gear=0.4],1.0,
0-demonstrator,expert ceiling on [gear=2.0],1.0,
0-demonstrator,expert ceiling on [latency=3],0.267,
0-demonstrator,expert success under 'nominal' randomisation,1.0,
0-demonstrator,expert success under 'wide' randomisation,0.767,
0-demonstrator,expert success under 'extreme' randomisation,0.633,
1-transfer-gap,nominal-trained on [mass=1.0],0.838,
1-transfer-gap,nominal-trained on [mass=0.6],0.0,
1-transfer-gap,nominal-trained on [mass=2.5],0.625,
1-transfer-gap,nominal-trained on [gear=0.6],0.825,
1-transfer-gap,nominal-trained on [gear=1.5],0.2,
1-transfer-gap,nominal-trained on [damp=0.45],0.913,
1-transfer-gap,nominal-trained on [damp=2.2],0.488,
1-transfer-gap,nominal-trained on [latency=1],0.7,
1-transfer-gap,nominal-trained on [latency=2],0.25,
1-transfer-gap,"nominal-trained on [mass=1.9, gear=0.7, damp=2.2]",0.675,
1-transfer-gap,nominal-trained: mean over the in-range fleet,0.551,
1-transfer-gap,nominal-trained: on its own robot,0.838,
2-randomised-vs-nominal,nominal: mean over in-range fleet,0.551,
2-randomised-vs-nominal,nominal: on the nominal robot,0.838,
2-randomised-vs-nominal,medium: mean over in-range fleet,0.828,
2-randomised-vs-nominal,medium: on the nominal robot,0.975,
2-randomised-vs-nominal,wide: mean over in-range fleet,0.796,
2-randomised-vs-nominal,wide: on the nominal robot,0.938,
2-randomised-vs-nominal,premium paid on the nominal robot,-0.1,
2-randomised-vs-nominal,gain on the fleet,0.245,
3-which-axis,nominal: mean over in-range fleet,0.551,
3-which-axis,mass-only: mean over in-range fleet,0.752,
3-which-axis,gear-only: mean over in-range fleet,0.725,
3-which-axis,damp-only: mean over in-range fleet,0.74,
3-which-axis,latency-only: mean over in-range fleet,0.636,
3-which-axis,wide: mean over in-range fleet,0.796,
3-which-axis,mass-only: on the robots it was aimed at,0.562 (nominal-trained: 0.312),
3-which-axis,gear-only: on the robots it was aimed at,0.894 (nominal-trained: 0.512),
3-which-axis,damp-only: on the robots it was aimed at,0.913 (nominal-trained: 0.700),
3-which-axis,latency-only: on the robots it was aimed at,0.719 (nominal-trained: 0.475),
4-range-width,nominal: fleet / outside-range / usable demos,0.551 / 0.278 / 1.00,
4-range-width,narrow: fleet / outside-range / usable demos,0.634 / 0.331 / 1.00,
4-range-width,medium: fleet / outside-range / usable demos,0.828 / 0.581 / 0.99,
4-range-width,wide: fleet / outside-range / usable demos,0.796 / 0.559 / 0.88,
4-range-width,extreme: fleet / outside-range / usable demos,0.806 / 0.647 / 0.57,
5-system-id,"nominal: on the real robot mass=1.9, gear=0.7, damp=2.2",0.675,
5-system-id,"wide: on the real robot mass=1.9, gear=0.7, damp=2.2",0.875,
5-system-id,"system-id: on the real robot mass=1.9, gear=0.7, damp=2.2",0.825,
5-system-id,"system-id vs wide, on the real robot",-0.05,
5-system-id,system-id: mean over the whole fleet,0.406,
6-outside-the-range,[mass=4.0] nominal / wide / extreme,0.250 / 0.950 / 0.963,
6-outside-the-range,[gear=0.4] nominal / wide / extreme,0.750 / 0.913 / 0.887,
6-outside-the-range,[gear=2.0] nominal / wide / extreme,0.000 / 0.150 / 0.350,
6-outside-the-range,[latency=3] nominal / wide / extreme,0.113 / 0.225 / 0.387,
