experiment,key,value,unit
1-play-data,random: transitions / fraction with contact,12000 / 0.033,
1-play-data,"random: 1-step puck error, ALL transitions",0.355 mm,
1-play-data,"random: 1-step puck error, CONTACT transitions",4.249 mm,
1-play-data,random: contact error / overall error,12.0,x
1-play-data,scripted: transitions / fraction with contact,12000 / 0.137,
1-play-data,"scripted: 1-step puck error, ALL transitions",1.097 mm,
1-play-data,"scripted: 1-step puck error, CONTACT transitions",3.539 mm,
1-play-data,scripted: contact error / overall error,3.2,x
1-play-data,mixed: transitions / fraction with contact,12000 / 0.094,
1-play-data,"mixed: 1-step puck error, ALL transitions",0.912 mm,
1-play-data,"mixed: 1-step puck error, CONTACT transitions",4.235 mm,
1-play-data,mixed: contact error / overall error,4.6,x
2-planning,model from random play: success / ms per decision,0.583 / 35.0,
2-planning,model from scripted play: success / ms per decision,0.583 / 42.3,
2-planning,model from mixed play: success / ms per decision,0.833 / 43.7,
2-planning,planning in the TRUE simulator: success / ms,1.000 / 1141.6,
2-planning,learned model speed-up over simulating,26.1,x
2-planning,gap to the true model (success),0.167,
3-planning-score,approach weight 0.0: success,0.083,
3-planning-score,approach weight 0.3: success,0.75,
3-planning-score,approach weight 1.0: success,0.833,
3-planning-score,approach weight 3.0: success,0.75,
4-horizon,horizon 5: success / ms per decision,0.750 / 12.2,
4-horizon,horizon 10: success / ms per decision,0.833 / 22.1,
4-horizon,horizon 15: success / ms per decision,0.833 / 43.7,
4-horizon,horizon 25: success / ms per decision,0.750 / 48.8,
5-data-scaling,25 play episodes (1440 transitions): success,0.417,
5-data-scaling,25 play episodes: contact error,5.46 mm,
5-data-scaling,50 play episodes (3000 transitions): success,0.417,
5-data-scaling,50 play episodes: contact error,5.08 mm,
5-data-scaling,100 play episodes (6000 transitions): success,0.583,
5-data-scaling,100 play episodes: contact error,5.03 mm,
5-data-scaling,200 play episodes (12000 transitions): success,0.833,
5-data-scaling,200 play episodes: contact error,4.23 mm,
6-latent-vs-state,latent-dynamics model: success,0.083,
6-latent-vs-state,state-space model: success,0.833,
6-latent-vs-state,latent ms per decision,19.5,
