experiment,key,value,unit
0-zoo,source-A-even: links / reach,"[0.2, 0.18] / 0.38 m",
0-zoo,source-B-heavy: links / reach,"[0.2, 0.18] / 0.38 m",
0-zoo,source-C-stubby: links / reach,"[0.16, 0.15] / 0.31 m",
0-zoo,source-D-3link: links / reach,"[0.14, 0.13, 0.11] / 0.38 m",
0-zoo,target-long-upper: links / reach,"[0.24, 0.14] / 0.38 m",
0-zoo,expert success on the target robot,1.0,
1-transfer-matrix,trained on source-A-even: own robot,0.95,
1-transfer-matrix,trained on source-A-even: other robots (mean),0.244,
1-transfer-matrix,trained on source-B-heavy: own robot,0.95,
1-transfer-matrix,trained on source-B-heavy: other robots (mean),0.244,
1-transfer-matrix,trained on source-C-stubby: own robot,0.725,
1-transfer-matrix,trained on source-C-stubby: other robots (mean),0.013,
1-transfer-matrix,trained on source-D-3link: own robot,0.65,
1-transfer-matrix,trained on source-D-3link: other robots (mean),0.013,
1-transfer-matrix,trained on target-long-upper: own robot,0.675,
1-transfer-matrix,trained on target-long-upper: other robots (mean),0.0,
1-transfer-matrix,diagonal mean,0.79,
1-transfer-matrix,off-diagonal mean,0.102,
2-pretraining,all4: transitions,9483,
2-pretraining,all4: zero-shot on the target robot,0.175,
2-pretraining,all4: mean success on its own source robots,0.963,
2-pretraining,one: transitions,8639,
2-pretraining,one: zero-shot on the target robot,0.0,
2-pretraining,one: mean success on its own source robots,1.0,
2-pretraining,two: transitions,8725,
2-pretraining,two: zero-shot on the target robot,0.0,
2-pretraining,two: mean success on its own source robots,1.0,
2-pretraining,all4-noemb: transitions,9483,
2-pretraining,all4-noemb: zero-shot on the target robot,0.85,
2-pretraining,all4-noemb: mean success on its own source robots,0.975,
3-sample-efficiency,  2 target demos: fine-tuned,0.488 +- 0.063,
3-sample-efficiency,  2 target demos: from scratch,0.025 +- 0.025,
3-sample-efficiency,  5 target demos: fine-tuned,0.675 +- 0.025,
3-sample-efficiency,  5 target demos: from scratch,0.150 +- 0.050,
3-sample-efficiency, 10 target demos: fine-tuned,0.863 +- 0.062,
3-sample-efficiency, 10 target demos: from scratch,0.262 +- 0.087,
3-sample-efficiency, 25 target demos: fine-tuned,0.900 +- 0.050,
3-sample-efficiency, 25 target demos: from scratch,0.450 +- 0.075,
3-sample-efficiency, 50 target demos: fine-tuned,0.912 +- 0.037,
3-sample-efficiency, 50 target demos: from scratch,0.537 +- 0.037,
3-sample-efficiency,200 target demos: fine-tuned,0.988 +- 0.013,
3-sample-efficiency,200 target demos: from scratch,0.837 +- 0.013,
3-sample-efficiency,demos from scratch to match fine-tuning at 10,more than 200 (scratch tops out at 0.837 vs 0.863),
3-sample-efficiency,sample-efficiency multiplier,>20,x
4-what-matters,4 robots (10 target demos),0.863 +- 0.062,
4-what-matters,2 robots (10 target demos),0.238 +- 0.038,
4-what-matters,"1 robot, same total data (10 target demos)",0.287 +- 0.212,
4-what-matters,"4 robots, no embodiment vector (10 target demos)",0.825 +- 0.075,
4-what-matters,"4 robots, last layer only (10 target demos)",0.688 +- 0.213,
4-what-matters,no pretraining (10 target demos),0.262 +- 0.087,
5-plenty-of-data,200 demos: fine-tuned vs scratch,0.988 vs 0.837  (advantage +0.150),
5-plenty-of-data,5 demos: fine-tuned vs scratch,0.675 vs 0.150  (advantage +0.525),
