experiment,com_error_mm,config,contacts_per_step,elbow_Nm,fall_time_s,link,lost_frames,mass,max_dt,mjcf_bodies,model,rate_hz,ratio,rms_vs_clean,shoulder_2s,shoulder_Nm,shoulder_err_pct,steps_per_s,true_inertia,urdf_bodies,urdf_inertia
weld,,,,,,,base_link;tool_link,,,6,,,,,,,,,,4,
inertia,50.0,,,,,link1,,0.5,,,,,1764.705881314879,,,,,,0.000566666667,,1.0
inertia,125.0,,,,,link2,,0.6,,,,,313.9717425431711,,,,,,0.003185,,1.0
inertia,88.88888877777777,,,,,link3,,0.45,,,,,1105.845956068347,,,,,,0.00181017778,,2.001777777777778
gravity,,,,-0.48072265595040625,,,,,,,clean,,,,,-1.9988243526248954,0.0,,,,
gravity,,,,-0.09614453128622569,,,,,,,URDF as imported,,,,,-1.0070055492909193,49.62010804158455,,,,
gravity,,,,0.0,,,,,,,clean + com,,,,,-0.9108610180046937,54.4301620695919,,,,
gravity,,,,-0.48072265595040625,,,,,,,clean + inertia,,,,,-1.9988243526248954,0.0,,,,
swing,,,,,0.20200000000000015,,,,,,clean,,,0.0,1.7213981714478652,,,,,,
swing,,,,,0.9720000000000008,,,,,,URDF as imported,,,0.9538217540802035,1.8665661285170463,,,,,,
swing,,,,,0.7820000000000006,,,,,,clean + inertia,,,0.8439273575278926,1.9361701448190174,,,,,,
swing,,,,,0.21200000000000016,,,,,,clean + com,,,0.09742954138904858,1.6380085466684755,,,,,,
swing,,,,,0.19200000000000014,,,,,,clean + damping,,,0.3227880086436211,1.1221490488508343,,,,,,
swing,,,,,0.18200000000000013,,,,,,clean + armature,,,0.08201180593175332,1.6073794387009894,,,,,,
swing,,,,,0.20200000000000015,,,,,,clean + limits,,,0.5121484927955328,2.3067695383284206,,,,,,
timestep,,clean (armature 0.01),,,,,,,0.02,,,50,,,,,,,,,
timestep,,no armature,,,,,,,0.008,,,125,,,,,,,,,
timestep,,"no armature, unit inertia",,,,,,,0.05,,,20,,,,,,,,,
collision,,capsules + box,2.0,,,,,,,,,,,,,,,86222.35835201631,,,
collision,,collision = visual mesh,7.0,,,,,,,,,,,,,,,14004.706188178234,,,
