experiment,captured,cmds_per_s,commands,config,delay_ms,delivered,drain,dropped,e2e_p50,e2e_p95,frames_captured,growth_ms_per_s,maximum,measured,p5,p50,p95,p99,plan_rate,plan_wait_p50,policy,stage,tail_ratio,tracking_rms_mm,wait_p50,wait_total,work_p50,work_p95,work_total
budget,,,,,,,,,,,,,,,,,,,,,,perception,,,1.084216004528571,,14.023256000655238,16.275562800001353,
budget,,,,,,,,,,,,,,,,,,,,,,estimator,,,0.04880099731963128,,2.0170870047877543,2.051138098613592,
budget,,,,,,,,,,,,,,,,,,,,,,planner,,,13.03612400079146,,6.084651999117341,8.398547598335426,
budget,,,,,,,,,,,,,,,,,,,,,,controller,,,1.616902998648584,,0.43171399738639593,0.46079200474196114,
budget,,,95,,,,,,,,300,,105.76293600024655,,37.21251120368834,38.629756003501825,72.66812749585368,105.3549581412517,,,,END-TO-END,,,,15.786044001288246,,,22.55670900194673
rates,,4.4,,,,,latest,,39.39302449725801,40.20483715212322,,,,,,,,,5,16.01980099803768,,,,,,,,,
rates,,9.0,,,,,latest,,38.70632799953455,41.00795299891615,,,,,,,,,10,15.954018002958037,,,,,,,,,
rates,,18.0,,,,,latest,,40.50140149774961,56.8838457485981,,,,,,,,,20,16.12880749962642,,,,,,,,,
rates,,27.0,,,,,latest,,38.67360800359165,40.934670601563994,,,,,,,,,30,16.027241996198427,,,,,,,,,
rates,,4.8,,,,,fifo,,338.1204354991496,340.7005785466026,,,,,,,,,5,316.04688900188194,,,,,,,,,
rates,,9.6,,,,,fifo,,338.61342949967366,341.12925854969944,,,,,,,,,10,316.0414145022514,,,,,,,,,
rates,,19.2,,,,,fifo,,338.9067554999201,355.6990394990862,,,,,,,,,20,315.9659129960346,,,,,,,,,
rates,,27.0,,,,,fifo,,38.042964006308466,42.03836839515134,,,,,,,,,30,15.972485001839232,,,,,,,,,
queues,270,,,,,89,,0,1243.7038110001595,2263.719240804494,,353.0736069595203,,,,,,,,,unbounded,,,,,,,,
queues,270,,,,,86,,88,140.16949600045336,145.47940174998075,,0.45459898482021044,,,,,,,,,drop_oldest,,,,,,,,
queues,186,,,,,89,,0,408.0989120047889,412.15635260014096,,16.977563965118573,,,,,,,,,block,,,,,,,,
tail,,,,as built (1 slow frame in 40),,,,,,,,,110.76911100099096,,,42.183061996183824,75.4394116011099,108.93669380180654,,,,,2.625914425344749,,,,,,
tail,,,,no slow frames,,,,,,,,,48.55661899637198,,,41.19731300306739,45.522145804716274,48.10108371719252,,,,,1.1786355821982042,,,,,,
tail,,,,"no slow frames, 12 Hz camera",,,,,,,,,114.8310990029131,,,77.00092199956998,110.34984124853509,110.61629574833204,,,,,1.4912951172656659,,,,,,
cost,,,,,0,,,,,,,,,,,,,,,,,,,26.326059158480227,,,,,
cost,,,,,10,,,,,,,,,,,,,,,,,,,28.308825449725884,,,,,
cost,,,,,20,,,,,,,,,,,,,,,,,,,32.55614256279913,,,,,
cost,,,,,30,,,,,,,,,,,,,,,,,,,38.4313971726729,,,,,
cost,,,,,44,,,,,,,,,,,,,,,,,,,48.53720459309625,,,,,
cost,,,,,60,,,,,,,,,,,,,,,,,,,61.93400449223335,,,,,
cost,,,,,77,,,,,,,,,,,,,,,,,,,77.77875592768797,,,,,
cost,,,,,90,,,,,,,,,,,,,,,,,,,90.86729846320318,,,,,
cost,,,,,112,,,,,,,,,,,,,,,,,,,114.8825742733434,,,,,
cost,,,,,140,,,,,,,,,,,,,,,,,,,148.85014268144513,,,,,
cost,,,,,180,,,,,,,,,,,,,,,,,,,214.3705835475923,,,,,
cost,,,,,230,,,,,,,,,,,,,,,,,,,inf,,,,,
cost,,,,,290,,,,,,,,,,,,,,,,,,,inf,,,,,
cost,,,,,360,,,,,,,,,,,,,,,,,,,inf,,,,,
cost,,,,,440,,,,,,,,,,,,,,,,,,,inf,,,,,
cost,,,,,38.629756003501825,,,,,,,,,p50,,,,,,,,,,43.98572485227744,,,,,
cost,,,,,72.66812749585368,,,,,,,,,p95,,,,,,,,,,72.96425321397359,,,,,
cost,,,,,105.76293600024655,,,,,,,,,max,,,,,,,,,,106.9844173417231,,,,,
