experiment,absent,availability,bad,belief_wrong_ms,detect_ms,good,kind,node,outage_ms,pct_wrong,recoveries,stale,tolerate,uncalibrated,wrong
coldstart,,0.9668508287292817,7,0,-1,175,unmanaged,,,,0,0,,7,
coldstart,,0.9668508287292817,0,0,-1,175,managed,,,,0,0,,0,
outage,,0.9668508287292817,7.0,0.0,-1.0,175.0,unmanaged,,20,,0.0,0.0,,7.0,
outage,,0.9422400803616273,0.0,1.9090909090909092,6.0,170.54545454545453,managed,,20,,0.6363636363636364,0.0,,0.0,
outage,,0.9668508287292817,7.0,0.0,-1.0,175.0,unmanaged,,40,,0.0,0.0,,7.0,
outage,,0.9281767955801105,0.0,3.0,16.0,168.0,managed,,40,,1.0,0.0,,0.0,
outage,,0.9668508287292817,7.0,0.0,-1.0,175.0,unmanaged,,80,,0.0,0.0,,7.0,
outage,,0.9281767955801105,0.0,3.0,16.0,168.0,managed,,80,,1.0,0.0,,0.0,
outage,,0.9583124058262179,8.545454545454545,49.0,-1.0,173.45454545454547,unmanaged,,150,,0.0,1.5454545454545454,,7.0,
outage,,0.9281767955801105,0.0,3.0,16.0,168.0,managed,,150,,1.0,0.0,,0.0,
outage,,0.933199397287795,13.090909090909092,65.0,182.0,168.9090909090909,unmanaged,,300,,0.0,6.090909090909091,,7.0,
outage,,0.8950276243093923,0.0,3.0,16.0,162.0,managed,,300,,2.0,0.0,,0.0,
outage,,0.8829733802109492,22.181818181818183,65.0,182.0,159.8181818181818,unmanaged,,600,,0.0,15.181818181818182,,7.0,
outage,,0.8563535911602211,0.0,3.0,16.0,155.0,managed,,600,,3.0,0.0,,0.0,
outage,,0.7825213460572578,40.36363636363637,65.0,182.0,141.63636363636363,unmanaged,,1200,,0.0,33.36363636363637,,7.0,
outage,,0.7569060773480664,0.0,3.0,16.0,137.0,managed,,1200,,6.0,0.0,,0.0,
outage,,0.6484178804620794,64.63636363636364,65.0,182.0,117.36363636363636,unmanaged,,2000,,0.0,57.63636363636363,,7.0,
outage,,0.6243093922651932,0.0,3.0,16.0,113.0,managed,,2000,,10.0,0.0,,0.0,
detection,,0.8176795580110497,34,65,179,148,unmanaged,,,,0,27,,7,
detection,,0.7900552486187845,0,3,13,143,managed,,,,5,0,,0,
bringup,0,,,,,4110,,unmanaged,,24.725274725274726,,,,,1350
bringup,1409,,,,,4051,,managed,,0.0,,,,,0
policy,,0.9422400803616273,,,,,,,20,,,,0,,
policy,,0.9281767955801105,,,,,,,40,,,,0,,
policy,,0.9281767955801105,,,,,,,80,,,,0,,
policy,,0.9281767955801105,,,,,,,150,,,,0,,
policy,,0.8950276243093923,,,,,,,300,,,,0,,
policy,,0.8563535911602211,,,,,,,600,,,,0,,
policy,,0.7569060773480664,,,,,,,1200,,,,0,,
policy,,0.6243093922651932,,,,,,,2000,,,,0,,
policy,,0.9633350075339027,,,,,,,20,,,,1,,
policy,,0.9542943244600703,,,,,,,40,,,,1,,
policy,,0.9226519337016577,,,,,,,80,,,,1,,
policy,,0.9226519337016577,,,,,,,150,,,,1,,
policy,,0.8895027624309393,,,,,,,300,,,,1,,
policy,,0.850828729281768,,,,,,,600,,,,1,,
policy,,0.7513812154696132,,,,,,,1200,,,,1,,
policy,,0.6187845303867404,,,,,,,2000,,,,1,,
policy,,0.9633350075339027,,,,,,,20,,,,3,,
policy,,0.9603214465092919,,,,,,,40,,,,3,,
policy,,0.9532898041185333,,,,,,,80,,,,3,,
policy,,0.9116022099447515,,,,,,,150,,,,3,,
policy,,0.9116022099447515,,,,,,,300,,,,3,,
policy,,0.839779005524862,,,,,,,600,,,,3,,
policy,,0.7403314917127072,,,,,,,1200,,,,3,,
policy,,0.6077348066298341,,,,,,,2000,,,,3,,
policy,,0.9633350075339027,,,,,,,20,,,,6,,
policy,,0.9603214465092919,,,,,,,40,,,,6,,
policy,,0.9532898041185333,,,,,,,80,,,,6,,
policy,,0.941737820190859,,,,,,,150,,,,6,,
policy,,0.8950276243093923,,,,,,,300,,,,6,,
policy,,0.861878453038674,,,,,,,600,,,,6,,
policy,,0.7569060773480664,,,,,,,1200,,,,6,,
policy,,0.6243093922651932,,,,,,,2000,,,,6,,
policy,,0.9633350075339027,,,,,,,20,,,,12,,
policy,,0.9603214465092919,,,,,,,40,,,,12,,
policy,,0.9532898041185333,,,,,,,80,,,,12,,
policy,,0.941737820190859,,,,,,,150,,,,12,,
policy,,0.9166248116524358,,,,,,,300,,,,12,,
policy,,0.861878453038674,,,,,,,600,,,,12,,
policy,,0.7569060773480664,,,,,,,1200,,,,12,,
policy,,0.6243093922651932,,,,,,,2000,,,,12,,
policy,,0.9668508287292817,,,,,,,20,,,,-1,,
policy,,0.9668508287292817,,,,,,,40,,,,-1,,
policy,,0.9668508287292817,,,,,,,80,,,,-1,,
policy,,0.9583124058262179,,,,,,,150,,,,-1,,
policy,,0.933199397287795,,,,,,,300,,,,-1,,
policy,,0.8829733802109492,,,,,,,600,,,,-1,,
policy,,0.7825213460572578,,,,,,,1200,,,,-1,,
policy,,0.6484178804620794,,,,,,,2000,,,,-1,,
