experiment,bytes,bytes_per_s,bytes_read,chunks,compression_est,cost_max,cost_p50,cost_p99,decisions,dropped,file_bytes,frac,mb_per_hour,messages,method,mode,ms,overhead_pct,overruns,period_p99,reproduced,scheme,seconds,share_pct,topic,worst_err
write,1271770,67289.41798941752,,18,,,,,,,,,,6048,,,,,,,,,18.900000000000134,,,
hotpath,,,,,,0.016385994968004525,0.00029700458981096745,0.000969995089690201,,0,,,,,,off,,,46,1.9768944483803352,,,,,,
hotpath,,,,,,2.089934001560323,0.09281399979954585,0.1955016249121411,,0,,,,,,sync,,,94,3.2951160495576928,,,,,,
hotpath,,,,,,2.8738260007230565,0.00861000080476515,0.04505765544308843,,0,,,,,,queue,,,98,2.8751803685008785,,,,,,
index,,,202914,,,,,,,,,,,600,index,,8.648146002087742,,,,,,,,,
index,,,1168722,,,,,,,,,,,600,scan,,49.58111800078768,,,,,,,,,
bill,533860,,,,,,,,,,,,101.71452765281822,,,,,,,,,,,56.47698541157553,/joint_states,
bill,156289,,,,,,,,,,,,29.77721090235512,,,,,,,,,,,16.533794577210745,/tf,
bill,70022,,,,,,,,,,,,13.341053188674252,,,,,,,,,,,7.407618987167687,/puck,
bill,69924,,,,,,,,,,,,13.322381582429214,,,,,,,,,,,7.397251578913961,/tip,
bill,69841,,,,,,,,,,,,13.306567875099232,,,,,,,,,,,7.388471018862336,/goal,
bill,45334,,,,,,,,,,,,8.637332627679282,,,,,,,,,,,4.795878426269743,/controller/diagnostics,
bill,945270,,,,7.450409495131753,,,,,,1271770,,,,,,,34.54039586573148,,,,,,,TOTAL,
replay,5113,,,,,,,,17,,,0.0,,,,,,,,,0,poses only,,,,0.0
replay,2703,,,,,,,,17,,,0.29411764705882354,,,,,,,,,5,"poses + joints, every 4th step",,,,0.0
replay,6617,,,,,,,,17,,,1.0,,,,,,,,,17,"full state, every step",,,,0.0
