experiment,clock,cpu_pct,drift_ms,excess_ms,extra_mm,hz,item,jitter_floor_ms,jitter_p99,kd,kernel,kp,ms,n_hogs,nominal_ms,overrun_pct,overruns,p50,p99,p999,p99_idle,p99_loaded,p99_over_nominal,p99_ratio,pinning,ratio,rms,rms_assumed_dt,rms_measured_dt,sched_fifo,sched_fifo_msg,spread_us,strategy,tag,worst,worst_idle,worst_loaded
strategies,,nan,758.5452159983106,,,,,,2.3014120855659876,,,,,,,,212,1.0592620019451715,3.3014120855659876,5.850636173476269,,,,,,,,,,,,,sleep_rel,,8.211200001824182,,
strategies,,nan,293.6522939999122,,,,,,2.0992831394542093,,,,,,,,220,0.9999780013458803,3.0992831394542093,4.753190060495538,,,,,,,,,,,,,sleep_abs,,9.188176998577546,,
strategies,,100.0,86.1533569986932,,,,,,0.1758459375414532,,,,,,,,36,0.99999200028833,1.019616778939965,4.007908206782307,,,,,,,,,,,,,spin,,8.220816998800728,,
strategies,,nan,271.5934389998438,,,,,,2.1434352617361596,,,,,,,,192,0.9999989997595549,3.1434352617361596,4.524597599302094,,,,,,,,,,,,,hybrid,,6.947592002688907,,
rate,,,,2.832447621040046,,100,,,,,,,,,10.0,0.0,,,12.832447621040046,,,,1.2832447621040046,,,,,,,,,,sleep_abs,,13.82120700145606,,
rate,,,,3.1481176432280336,,250,,,,,,,,,4.0,2.4,,,7.148117643228034,,,,1.7870294108070084,,,,,,,,,,sleep_abs,,9.971323997888248,,
rate,,,,2.1997777204960567,,500,,,,,,,,,2.0,2.95,,,4.199777720496057,,,,2.0998888602480283,,,,,,,,,,sleep_abs,,6.685774998913985,,
rate,,,,2.5463823596364805,,1000,,,,,,,,,1.0,3.85,,,3.5463823596364805,,,,3.5463823596364805,,,,,,,,,,sleep_abs,,8.687324996571988,,
rate,,,,2.445536099869059,,2000,,,,,,,,,0.5,4.575,,,2.945536099869059,,,,5.891072199738118,,,,,,,,,,sleep_abs,,6.242411000130232,,
rate,,,,0.008097723621176556,,100,,,,,,,,,10.0,0.0,,,10.008097723621177,,,,1.0008097723621177,,,,,,,,,,spin,,10.0138039997546,,
rate,,,,0.021671697410056368,,250,,,,,,,,,4.0,0.1,,,4.021671697410056,,,,1.005417924352514,,,,,,,,,,spin,,6.008224001561757,,
rate,,,,0.06734583684010165,,500,,,,,,,,,2.0,0.6,,,2.0673458368401016,,,,1.0336729184200508,,,,,,,,,,spin,,5.475670004670974,,
rate,,,,0.015394581918371841,,1000,,,,,,,,,1.0,0.575,,,1.0153945819183718,,,,1.0153945819183718,,,,,,,,,,spin,,4.027572998893447,,
rate,,,,0.013872563751647249,,2000,,,,,,,,,0.5,0.3125,,,0.5138725637516472,,,,1.0277451275032945,,,,,,,,,,spin,,3.7110720004420727,,
load,,nan,2406.1633180026547,,,,,,4.951135701470776,,,,,12,,,1145,1.0007730015786365,5.951135701470776,8.739117544217153,,,,,,,,,,,,,sleep_abs,,10.940341002424248,,
load,,100.0,3187.568753004598,,,,,,6.146879036445177,,,,,12,,,1050,1.0000940019381233,7.146879036445177,13.011764741619265,,,,,,,,,,,,,spin,,19.204421994800214,,
load,,nan,2027.598245003901,,,,,,4.001920014765346,,,,,12,,,1212,1.0001729970099404,5.001920014765346,7.002576493119706,,,,,,,,,,,,,hybrid,,19.994349000626244,,
load_ratio,,,,,,,,,,,,,,,,,,,,,3.0992831394542093,5.951135701470776,,1.9201652232776592,,,,,,,,,sleep_abs,,,9.188176998577546,10.940341002424248
load_ratio,,,,,,,,,,,,,,,,,,,,,1.019616778939965,7.146879036445177,,7.009377625067491,,,,,,,,,spin,,,8.220816998800728,19.204421994800214
load_ratio,,,,,,,,,,,,,,,,,,,,,3.1434352617361596,5.001920014765346,,1.591227303342879,,,,,,,,,hybrid,,,6.947592002688907,19.994349000626244
os,,,,,,,,,,,PREEMPT_DYNAMIC,,,,,,,,,,,,,,True,,,,,False,denied: [Errno 1] Operation not permitted,,,,,,
pinning,,nan,2267.8877239959547,,,,,,4.635856203152828,,,,,,,,1280,1.0001850023400038,5.635856203152828,9.001438168896135,,,,,,,,,,,,,free to migrate,,13.962265998998191,,
pinning,,nan,7072.538275002444,,,,,,9.010936337348541,,,,,,,,2071,1.000226999167353,10.010936337348541,17.253711507423084,,,,,,,,,,,,,pinned to a busy core,,22.992676000285428,,
pinning,,nan,2981.109523003397,,,,,,5.009095375484322,,,,,,,,1494,1.0003429997595958,6.009095375484322,9.002965529347422,,,,,,,,,,,,,"pinned, load kept off it",,11.209672004042659,,
allocation,,nan,536.8105460001971,,,,,,2.2750235193816413,,,,,,,,326,0.9999989997595549,3.2750235193816413,5.87742004709448,,,,,,,,,,,,,preallocated,,7.284580002306029,,
allocation,,nan,610.9091670005,,,,,,2.455031495977884,,,,,,,,358,1.0000039983424358,3.455031495977884,5.027713835617792,,,,,,,,,,,,,small objs + cycles,,7.011128000158351,,
allocation,,nan,546.5916459943401,,,,,,2.2741943020664492,,,,,,,,344,1.0000020047300495,3.2741943020664492,5.031650422257738,,,,,,,,,,,,,"same, gc disabled",,7.020550998277031,,
allocation,,nan,554.7538969985908,,,,,,2.417396042350444,,,,,,,,332,0.9999980029533617,3.417396042350444,5.56588990063809,,,,,,,,,,,,,1.6 MB per iteration,,8.98672499897657,,
alloc_cost,,,,,,,empty statement,2.2750235193816413,,,,,3.204470012860838e-05,,,,,,,,,,,,,70995.3131173345,,,,,,,,,,,
alloc_cost,,,,,,,small object + cycle,2.2750235193816413,,,,,0.002861294400281622,,,,,,,,,,,,,795.1029153650609,,,,,,,,,,,
alloc_cost,,,,,,,1.6 MB allocation,2.2750235193816413,,,,,0.0005900495016248897,,,,,,,,,,,,,3855.6485737495545,,,,,,,,,,,
alloc_cost,,,,,,,one full gc.collect(),2.2750235193816413,,,,,18.19049200275913,,,,,,,,,,,,,0.12506662926085596,,,,,,,,,,,
cost_gains,,,,,,,,,,28,,400,,,,,,,,,,,,,,,16.796692726837783,,,,,0.0,,loose,,,
cost_gains,,,,,,,,,,28,,400,,,,,,,,,,,,,,,16.737638947832426,,,,,100.0,,loose,,,
cost_gains,,,,,,,,,,28,,400,,,,,,,,,,,,,,,16.763010640503758,,,,,200.0,,loose,,,
cost_gains,,,,,,,,,,28,,400,,,,,,,,,,,,,,,17.19104038043522,,,,,350.0,,loose,,,
cost_gains,,,,,,,,,,28,,400,,,,,,,,,,,,,,,16.657795089418414,,,,,500.0,,loose,,,
cost_gains,,,,,,,,,,90,,2500,,,,,,,,,,,,,,,2.603678483516781,,,,,0.0,,medium,,,
cost_gains,,,,,,,,,,90,,2500,,,,,,,,,,,,,,,2.6010552457009495,,,,,100.0,,medium,,,
cost_gains,,,,,,,,,,90,,2500,,,,,,,,,,,,,,,2.975357543006112,,,,,200.0,,medium,,,
cost_gains,,,,,,,,,,90,,2500,,,,,,,,,,,,,,,3.1837350935243864,,,,,350.0,,medium,,,
cost_gains,,,,,,,,,,90,,2500,,,,,,,,,,,,,,,3.4824937142649137,,,,,500.0,,medium,,,
cost_gains,,,,,,,,,,160,,6000,,,,,,,,,,,,,,,1.3874670564927472,,,,,0.0,,tight,,,
cost_gains,,,,,,,,,,160,,6000,,,,,,,,,,,,,,,1.5345104610386964,,,,,100.0,,tight,,,
cost_gains,,,,,,,,,,160,,6000,,,,,,,,,,,,,,,1.6479284031792802,,,,,200.0,,tight,,,
cost_gains,,,,,,,,,,160,,6000,,,,,,,,,,,,,,,2.043264475997618,,,,,350.0,,tight,,,
cost_gains,,,,,,,,,,160,,6000,,,,,,,,,,,,,,,2.510263601343273,,,,,500.0,,tight,,,
cost_gains,,,,,,,,,,200,,10000,,,,,,,,,,,,,,,1.1953292859315003,,,,,0.0,,very tight,,,
cost_gains,,,,,,,,,,200,,10000,,,,,,,,,,,,,,,1.2283599560266787,,,,,100.0,,very tight,,,
cost_gains,,,,,,,,,,200,,10000,,,,,,,,,,,,,,,1.4967558621501156,,,,,200.0,,very tight,,,
cost_gains,,,,,,,,,,200,,10000,,,,,,,,,,,,,,,1.7593951996327923,,,,,350.0,,very tight,,,
cost_gains,,,,,,,,,,200,,10000,,,,,,,,,,,,,,,2.41405263786047,,,,,500.0,,very tight,,,
cost_synthetic,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.3874670564927472,1.3874670564927472,,,0.0,,,,,
cost_synthetic,,,,,0.010225514329785135,,,,,,,,,,,,,,,,,,,,,,,1.3976925708225323,1.3890834570284523,,,50.0,,,,,
