traj,heldout,warp_pan_err,plucker_pan_err,pose_pan_err,static_err,warp_zoom_err,plucker_zoom_err,pose_zoom_err
pan right,False,4.141,2.025,4.812,2.220,0.087,0.116,0.163
pan left,False,1.154,2.314,2.421,2.390,0.039,0.039,0.057
pan down,False,1.687,2.456,2.658,2.850,0.060,0.094,0.146
pan up,False,1.221,3.718,2.874,3.559,0.074,0.111,0.064
zoom out,False,0.425,0.534,32.961,0.339,0.030,0.027,0.049
zoom in,False,0.400,0.705,24.915,0.189,0.034,0.073,0.073
diagonal pan (unseen direction),True,2.660,9.275,7.932,5.125,0.046,0.131,0.114
pan right + zoom in,True,4.220,4.888,10.039,8.085,0.084,0.119,0.144
pan down + zoom out,True,4.365,3.696,2.363,2.909,0.051,0.030,0.051
curved path,True,2.461,5.363,4.594,4.707,0.126,0.109,0.101
