arm,jitter,trainable,track_px,flicker,digit_acc,seconds
no control (frozen base),0.0,0,9.14,0.0321,0.292,4.1
the real clips themselves,0.0,,0.1,0.041,,
temporal,0.0,1167792,1.28,0.0265,0.354,6.2
temporal,0.1,1167792,1.39,0.0214,0.271,6.2
temporal,0.2,1167792,2.15,0.0165,0.188,6.3
temporal,0.3,1167792,4.44,0.0164,0.167,6.2
temporal,0.5,1167792,7.81,0.0265,0.146,6.2
perframe,0.0,1150896,2.02,0.0266,0.25,6.5
perframe,0.1,1150896,2.65,0.0264,0.229,6.3
perframe,0.2,1150896,3.47,0.0246,0.167,6.3
perframe,0.3,1150896,5.3,0.0248,0.146,6.3
perframe,0.5,1150896,8.28,0.0266,0.146,6.8
scratch,0.0,1167792,1.15,0.0275,0.354,6.4
scratch,0.1,1167792,1.39,0.0223,0.25,6.2
scratch,0.2,1167792,1.86,0.0172,0.188,6.2
scratch,0.3,1167792,2.52,0.0154,0.188,6.2
scratch,0.5,1167792,4.48,0.0158,0.188,6.2
