speed,gap_px,arm,fill_error,path_error,middle_ink,truth_ink,digit_acc
0.7,8.42,linear,0.0335,0.8542,0.0202,0.0262,0.526
0.7,8.42,inpaint,0.0609,5.5629,0.0234,0.0262,0.4609
0.7,8.42,trained,0.0608,2.128,0.0257,0.0262,0.349
0.7,8.42,vae_floor,0.0,0.0,0.0262,0.0262,0.7396
1.4,16.76,linear,0.059,3.8064,0.0122,0.0279,0.4141
1.4,16.76,inpaint,0.043,2.9958,0.026,0.0279,0.5547
1.4,16.76,trained,0.0162,0.4833,0.0272,0.0279,0.6302
1.4,16.76,vae_floor,0.0,0.0,0.0279,0.0279,0.6823
2.1,25.22,linear,0.0617,7.8847,0.009,0.0248,0.3203
2.1,25.22,inpaint,0.0366,3.3362,0.022,0.0248,0.4583
2.1,25.22,trained,0.0139,0.6234,0.0234,0.0248,0.4401
2.1,25.22,vae_floor,0.0,0.0,0.0248,0.0248,0.4193
2.8,34.0,linear,0.0631,8.6944,0.0106,0.0239,0.3073
2.8,34.0,inpaint,0.0416,4.1988,0.019,0.0239,0.2995
2.8,34.0,trained,0.0275,1.6881,0.0174,0.0239,0.3021
2.8,34.0,vae_floor,0.0,0.0,0.0239,0.0239,0.3828
4.2,36.0,linear,0.0455,10.4165,0.0084,0.0216,0.2839
4.2,36.0,inpaint,0.0696,10.5546,0.0204,0.0216,0.3073
4.2,36.0,trained,0.0617,7.9971,0.019,0.0216,0.3542
4.2,36.0,vae_floor,0.0,0.0,0.0216,0.0216,0.4245
