arm,character,digit,identity,shot_to_shot,digit_acc,direction_acc
text,0,0,0.2443,0.1618,0.5625,1.0
text,1,1,0.0758,0.0591,0.9375,1.0
text,2,2,0.1943,0.1689,0.6875,1.0
text,3,3,0.1836,0.0817,0.1875,1.0
text,4,0,0.2207,0.144,0.6875,1.0
text,5,1,0.0766,0.0545,0.8125,1.0
text,6,2,0.1806,0.0802,0.625,1.0
text,7,3,0.145,0.0969,0.0625,1.0
ip,0,0,0.2414,0.1683,0.5625,1.0
ip,1,1,0.0746,0.0522,0.9375,1.0
ip,2,2,0.1958,0.1662,0.75,1.0
ip,3,3,0.1857,0.0886,0.3125,1.0
ip,4,0,0.2336,0.1559,0.5625,1.0
ip,5,1,0.0822,0.0706,0.8125,1.0
ip,6,2,0.1748,0.1403,0.5,1.0
ip,7,3,0.1496,0.1132,0.25,1.0
lora,0,0,0.2047,0.1831,0.75,1.0
lora,1,1,0.0299,0.0222,1.0,1.0
lora,2,2,0.1494,0.1326,0.625,1.0
lora,3,3,0.1954,0.1002,0.3125,1.0
lora,4,0,0.1567,0.087,0.6875,1.0
lora,5,1,0.057,0.0573,0.9375,1.0
lora,6,2,0.1111,0.0775,0.125,1.0
lora,7,3,0.0771,0.054,0.0625,1.0
real_vae,0,0,0.0615,0.0339,0.5,nan
real_vae,1,1,0.0244,0.0289,1.0,nan
real_vae,2,2,0.0533,0.0424,0.75,nan
real_vae,3,3,0.0889,0.0703,0.75,nan
real_vae,4,0,0.0587,0.0503,0.75,nan
real_vae,5,1,0.0281,0.0203,1.0,nan
real_vae,6,2,0.0517,0.0244,0.25,nan
real_vae,7,3,0.0426,0.0308,0.0,nan
