arm,step,loss
diff,250,0.08099
diff,500,0.10264
diff,750,0.06048
diff,1000,0.06325
diff,1250,0.05281
diff,1500,0.04747
diff,1750,0.04849
diff,2000,0.03400
diff,2250,0.03416
diff,2500,0.03791
diff,2750,0.03289
diff,3000,0.02421
noact,250,0.08203
noact,500,0.10174
noact,750,0.06750
noact,1000,0.07181
noact,1250,0.06276
noact,1500,0.05979
noact,1750,0.05810
noact,2000,0.04509
noact,2250,0.04754
noact,2500,0.05042
noact,2750,0.04664
noact,3000,0.03939
mse,250,0.01017
mse,500,0.00639
mse,750,0.00385
mse,1000,0.00340
mse,1250,0.00228
mse,1500,0.00185
mse,1750,0.00180
mse,2000,0.00257
mse,2250,0.00194
mse,2500,0.00161
mse,2750,0.00127
mse,3000,0.00132
