step,loss
0,1.08658
20,0.53796
40,0.31039
60,0.23296
80,0.20050
100,0.19341
120,0.16593
140,0.17922
160,0.15983
180,0.13651
200,0.13785
220,0.12254
240,0.13309
260,0.11992
280,0.12269
300,0.13203
320,0.09953
340,0.10884
360,0.12200
380,0.08928
400,0.11273
420,0.09192
440,0.08392
460,0.09329
480,0.09411
500,0.07539
520,0.09099
540,0.11054
560,0.10731
580,0.07344
600,0.08144
620,0.08243
640,0.08225
660,0.06833
680,0.10040
700,0.07622
720,0.07444
740,0.06861
760,0.08570
780,0.07412
800,0.09657
820,0.08193
840,0.07815
860,0.06921
880,0.08924
900,0.07395
920,0.08048
940,0.08162
960,0.06776
980,0.07248
1000,0.05580
1020,0.06796
1040,0.06171
1060,0.07726
1080,0.07132
1100,0.06492
1120,0.06589
1140,0.06653
1160,0.07563
1180,0.06539
1200,0.05481
1220,0.06488
1240,0.06734
1260,0.06489
1280,0.06283
1300,0.06082
1320,0.06381
1340,0.06489
1360,0.05134
1380,0.07218
1400,0.06582
1420,0.05784
1440,0.06171
1460,0.05928
1480,0.05572
1500,0.05458
1520,0.05786
1540,0.08049
1560,0.06028
1580,0.05645
1600,0.05934
1620,0.07058
1640,0.05796
1660,0.05250
1680,0.06548
1700,0.05961
1720,0.06893
1740,0.06193
1760,0.05910
1780,0.05838
