step,loss
0,0.07818
20,0.03338
40,0.03001
60,0.02619
80,0.02715
100,0.02736
120,0.02240
140,0.01916
160,0.01840
180,0.01865
200,0.01833
220,0.01862
240,0.01873
260,0.01887
280,0.01726
300,0.01751
320,0.01635
340,0.01926
360,0.01738
380,0.01675
400,0.01594
420,0.01623
440,0.01669
460,0.01828
480,0.01647
500,0.01831
520,0.01762
540,0.01710
560,0.01507
580,0.01473
600,0.01500
620,0.01672
640,0.01560
660,0.01807
680,0.01485
700,0.01422
720,0.01595
740,0.01727
760,0.01627
780,0.01804
800,0.01334
820,0.01674
840,0.01468
860,0.01554
880,0.01364
900,0.01222
920,0.01563
940,0.01581
960,0.01646
980,0.01401
1000,0.01530
1020,0.01565
1040,0.01630
1060,0.01404
1080,0.01413
1100,0.01548
1120,0.01659
1140,0.01395
1160,0.01711
1180,0.01413
1200,0.01804
1220,0.01608
1240,0.01363
1260,0.01395
1280,0.01607
1300,0.01481
1320,0.01590
1340,0.01212
1360,0.01552
1380,0.01329
1400,0.01503
1420,0.01354
1440,0.01170
1460,0.01615
1480,0.01359
1500,0.01334
1520,0.01198
1540,0.01276
1560,0.01473
1580,0.01262
